MATH_G1_U01	かずとすうじ（10までの かず）	50	まるが 3こ あります。かずで いうと？ || おさらの うえに クッキーが ありません。かずで いうと？ || りんごが 5こ あります。さいごに よむ かずは？ || 1、2、3、4、5 と ならんでいます。5の ひとつ まえは？ || あかい まるが 3こ、あおい まるが 2こ。おおいのは どちら？ || カードに 7 と かいてあります。7の つぎの かずは？ || 4こ ある みかんを、1、2、3、4 と かぞえます。さいごの かずは？ || ゆびを 6ぽん かぞえました。かずで えらぶと？
MATH_G1_U02	いくつといくつ	50	5は 2と なに？ || 10は 3 と なに？
MATH_G1_U03	かたちあそび	50	ころころ ころがる かたちは どれ？ || かどが ある かたちは どれ？ || さんかくに にている ものは？ || まるに にている ものは？ || しかくに にている ものは？ || たいらな ところに すわりやすい かたちは？ || つみやすい かたちは どれ？ || ころがりやすい ものは どれ？
MATH_G1_U04	なんばんめ	50	ねこ、いぬ、うさぎ。まえから 2ばんめは？ || あか、あお、きいろ、みどり。3ばんめは？ || 1、2、3、4、5。4ばんめの かずは？ || りんご、みかん、ばなな。さいしょは？ || りんご、みかん、ばなな。さいごは？ || まる、さんかく、しかく、ほし。2ばんめは？ || あ、い、う、え、お。3ばんめは？ || 1、2、3、4。1ばんめの かずは？
MATH_G1_U05	あわせていくつ（たしざん）	50	りんごが 2こ、みかんが 3こ。あわせて いくつ？ || あかい まるが 1こ、あおい まるが 4こ。あわせて いくつ？ || えんぴつが 3ぼん、ぺんが 2ほん。あわせて なんぼん？ || あめが 4こ、ぐみが 1こ。あわせて いくつ？ || はなが 2ほん、はっぱが 2まい。あわせて いくつ？ || ぼーるが 5こ、ぼーるが 1こ。あわせて いくつ？ || しろい いしが 3こ、くろい いしが 3こ。あわせて いくつ？ || ねこが 1ぴき、いぬが 2ひき。あわせて なんびき？
MATH_G1_U06	ふえるといくつ（たしざん）	62	あめが 3こ あります。2こ ふえると いくつ？ || りんごが 4こ あります。1こ ふえると いくつ？ || ぼーるが 2こ あります。3こ ふえると いくつ？ || はなが 5ほん あります。2ほん ふえると なんぼん？ || ねこが 1ぴき います。3びき ふえると なんびき？ || まるが 6こ あります。1こ ふえると いくつ？ || おはじきが 4こ あります。4こ ふえると いくつ？ || つみきが 7こ あります。2こ ふえると いくつ？
MATH_G1_U07	のこりはいくつ（ひきざん）	62	あめが 5こ あります。2こ たべると のこりは？ || りんごが 6こ あります。1こ とると のこりは？ || ぼーるが 4こ あります。3こ つかうと のこりは？ || はなが 8ほん あります。2ほん あげると のこりは？ || おはじきが 7こ あります。4こ しまうと のこりは？ || みかんが 9こ あります。5こ たべると のこりは？ || つみきが 10こ あります。1こ とると のこりは？ || こっぷが 6こ あります。6こ つかうと のこりは？
MATH_G1_U08	ちがいはいくつ（ひきざん）	50	りんごが 5こ、みかんが 3こ。ちがいは なんこ？ || あかが 4こ、あおが 1こ。ちがいは？ || ねこが 6ひき、いぬが 2ひき。ねこは なんびき おおい？ || まるが 7こ、さんかくが 5こ。ちがいは？ || つみきが 9こ、はこが 4こ。つみきは なんこ おおい？ || あめが 3こ、ぐみが 3こ。ちがいは？ || いすが 8こ、つくえが 6こ。ちがいは？ || はなが 10ぽん、はっぱが 7まい。ちがいは？
MATH_G1_U09	20までのかず	50	10の つぎの かずは？ || 15の ひとつ まえは？ || 11、12、13、？。？に はいる かずは？ || 13と 15の あいだの かずは？ || 10と 1で できる かずは？ || 14は 10と なに？ || 20までの かずで、いちばん おおきいのは？ || 11、13、15 の なかで いちばん ちいさいのは？
MATH_G1_U10	なんじ（とけい）	50	ながい はりが 12、みじかい はりが 3。なんじ？ || ながい はりが 6、みじかい はりが 2の あたり。なんじはん？ || おひるごはんを たべる ころの 12じ。ながい はりは どこ？ || 1じ ちょうど。ながい はりは どこ？ || 4じはん。ながい はりは どこ？ || 7じはん。みじかい はりは どの あたり？ || 5じ ちょうど。みじかい はりは どこ？ || ながい はりが 12なら、よみかたは？
MATH_G1_U11	ながさくらべ	60	えんぴつAは 5cm、えんぴつBは 3cm。ながいのは？ || ひもAは 2cm、ひもBは 6cm。ながいのは？ || くれよんAは 4cm、くれよんBは 4cm。ながさは？ || 5cmと 7cm。ながいのは？ || 8cmと 3cm。みじかいのは？ || はしから はしまで そろえて くらべるのは なぜ？ || ひもAは 9cm、ひもBは 6cm。Aは Bより？ || りぼんAは 1cm、りぼんBは 5cm。Aは Bより？
MATH_G1_U12	かさくらべ	50	こっぷAは 3はい、こっぷBは 5はい はいります。たくさん はいるのは？ || いれものAは 6ぱい、いれものBは 2はい。たくさん はいるのは？ || Aも Bも 4はい はいります。かさは？ || 2はいと 7はい。たくさん はいるのは？ || 8はいと 3はい。すくないのは？ || かさを くらべる とき、みるものは？ || ばけつAは 9はい、ばけつBは 5はい。Aは Bより？ || こっぷAは 1ぱい、こっぷBは 6ぱい。Aは Bより？
MATH_G1_U13	えぐらふ	50	えぐらふで、あかが 5こ、あおが 3こ。おおいのは？ || えぐらふで、ねこが 2ひき、いぬが 4ひき。おおいのは？ || えぐらふで、りんごが 3こ、みかんが 3こ。くらべると？ || えぐらふで、あかが 6こ、あおが 1こ。ちがいは？ || えぐらふで、はなが 4ほん、はっぱが 2まい。あわせると？ || えぐらふで、いちばん たかい ぼうは なにを あらわす？ || あか 2こ、あお 5こ、きいろ 4こ。いちばん おおいのは？ || あか 2こ、あお 5こ、きいろ 4こ。いちばん すくないのは？
MATH_G1_U14	ひょう	50	ひょうで、ねこ 3、いぬ 5。おおいのは？ || ひょうで、あか 4、あお 4。くらべると？ || ひょうで、りんご 6、みかん 2。ちがいは？ || ひょうで、まる 1、さんかく 7。おおいのは？ || ひょうで、A 3、B 4。あわせると？ || ひょうを みる とき、なにを くらべる？ || ひょうで、0と かいてある ものは？ || ひょうで、ほし 8、つき 5。ほしは なんこ おおい？
MATH_G1_U15	さんかくとしかく	50	さんかくの かどは いくつ？ || しかくの かどは いくつ？ || さんかくの へんは いくつ？ || しかくの へんは いくつ？ || かどが 3つの かたちは？ || まるには かどが ある？ || さんかくと しかくで、かどが おおいのは？ || さんかくと しかくで、へんが すくないのは？
