LIFE_1_U01	30	がっこうを たんけんするとき、ろうかは どう あるく？ => しずかに みぎがわを あるく || しょくいんしつに はいる まえに いう ことばは？ => しつれいします || きょうしつで べんきょうする ときに つかう ものは？ => つくえと いす || おんがくしつで みつけやすい ものは？ => ピアノ || たいいくかんで することは？ => うんどう || ほけんしつに いくのは どんな とき？ => けがや ぐあいが わるい とき
LIFE_1_U02	31	せんせいや しゅじさんに あったときは どうする？ => あいさつをする || がっこうで こまっている おともだちに することは？ => やさしく こえをかける || せんせいに よばれたら どうする？ => へんじをする || しゅじさんが そうじを していたら どうする？ => ありがとう という || ともだちの はなしを きくときは？ => さいごまで きく || なにか してもらって うれしいときは？ => ありがとう という
LIFE_1_U03	50	はるに さきやすい はなは どれ？ => さくら || ふゆの あさに じめんに できる しろい こおりの はしらを なにという？ => しもばしら || はるに よく みかける きいろい はなは？ => たんぽぽ || なつの そらに みえやすい もくもくした くもは？ => にゅうどうぐも || あきに ひろいやすい ちゃいろい みは？ => どんぐり || ふゆに たべる くだもので おおいのは？ => みかん
LIFE_1_U04	30	ちょうが はなの みつを すう ときに つかう ものは？ => くち || いきものを かんさつするとき たいせつなことは？ => やさしく あつかう || ありは どんな ものを はこんでいることが ある？ => たべもの || てんとうむしの はねの したに ある ものは？ => うすい はね || ちょうちょが よく あつまる ばしょは？ => はなが さいている ところ || だんごむしが すきな ばしょは？ => じめじめした ところ
LIFE_1_U05	36	はなや やさいを そだてるのに ひつような ものは？ => みずと たいよう || たねを まいた あとに まず でてくる ものは？ => め || みずを あげる ときに つかう どうぐは？ => じょうろ || たねを まく ばしょに ひつような ものは？ => つち || はっぱが しおれていたら まず かんがえることは？ => みずが たりない || ひなたと ひかげなら どちらが よいことが おおい？ => ひなた
LIFE_1_U06	30	まつぼっくりや どんぐりで つくる ものは？ => おもちゃ || みぢかな もの あそびで たいせつなのは？ => あんぜんに つかう || かみひこうきを よく とばすには？ => ていねいに おる || おもちゃが うまく うごかない ときは？ => つくりを みなおす || まつぼっくりで つくりやすい ものは？ => かざり || ゴムを つかった あそびで きをつけることは？ => ひとに むけない
LIFE_1_U07	30	1ねんかんで できるように なったことを ふりかえることを？ => せいちょうを みつめる || むかしの しゃしんと くらべて わかることは？ => じぶんが おおきくなった || できるように なったことを はなす ときは？ => じぶんの ことばで つたえる || 1ねんせいで おぼえた ことの れいは？ => がっこうの やくそく || むかしより じょうずに なったことを みつけると？ => じしんが つく || せいちょうを ふりかえる ときに みるものの ひとつは？ => にっきや しゃしん
LIFE_2_U01	42	まちたんけんで みつけたことを かく ものは？ => たんけんカード || こうばんは まちで どんな やくわりをしている？ => あんぜんを まもる || まちたんけんで はじめに することは？ => どこを みるか きめる || ゆうびんきょくに ある あかい ものは？ => ポスト || ほんを かりられる ばしょは？ => としょかん || でんしゃに のる ばしょは？ => えき
LIFE_2_U02	30	まちの ひとに インタビューするとき さいしょに することは？ => あいさつをする || おみせの ひとに おしえてもらったら つたえることは？ => ありがとう || みせの ひとに きく ときの こえは？ => やさしい こえ || しつもんする まえに いうと よい ことばは？ => おしえて ください || まちの ひとが はたらく りゆうの ひとつは？ => みんなの くらしを ささえるため || こうばんの ひとは まちで どんなことを する？ => あんぜんを まもる
LIFE_2_U03	48	なつに せみの こえが よく きこえるのは なぜ？ => きせつが かわったから || あきの こうえんで ひろいやすい ものは？ => どんぐり || はるに さく はなで おおいのは？ => さくら || なつの そらに みえやすい くもは？ => にゅうどうぐも || あきに はっぱの いろが かわることを？ => こうよう || ふゆの あさに みつけやすい ものは？ => しも
